id,name,score,ra,dec,size,mag
546,NGC 6939,2,20h 31m 30s,60° 39' 42'',10,7.8
547,Abell 71,2,20h 32m 23s,47° 21' 04'',3.0,15.0
548,LDN 1089,2,20h 33m 22s,63° 35' 56'',60,
549,Sh2-112,4,20h 33m 49s,45° 38' 00'',15,
550,NGC 6934,2,20h 34m 11s,07° 24' 17'',8.0,8.9
551,NGC 6940,1,20h 34m 26s,28° 17' 00'',31,6.3
552,NGC 6946,4,20h 34m 52s,60° 09' 14'',11,8.8
553,Sh2-115,3,20h 35m 02s,47° 02' 24'',35,
554,LBN 0380,3,20h 36m 30s,48° 02' 40'',150,
555,Northern Coalsack,2,20h 40m 00s,41° 00' 00'',480,
556,LBN 0468,4,20h 42m 29s,67° 51' 00'',120,
557,NGC 6960,5,20h 45m 58s,30° 35' 42'',75,
558,Abell 72,3,20h 50m 02s,13° 33' 28'',3.0,13.0
559,Ear Nebula,2,20h 50m 13s,46° 55' 00'',6,
560,Pickering's Triangle,4,20h 50m 28s,32° 01' 36'',60,
561,Barnard 150,4,20h 50m 41s,60° 18' 00'',60,
562,IC 5070,5,20h 51m 01s,44° 24' 05'',80,
563,Cygnus Loop,5,20h 51m 21s,31° 10' 00'',180,
564,M 072,2,20h 53m 28s,-12° 32' 14'',6.0,9.2
565,NGC 6991,3,20h 54m 56s,47° 19' 18'',10.0,
566,NGC 6992,4,20h 56m 19s,31° 44' 36'',90,
567,LBN 0552,3,20h 57m 40s,78° 36' 36'',120,
568,M 073,1,20h 58m 56s,-12° 38' 07'',3.0,8.9
569,NGC 7000,4,20h 59m 17s,44° 31' 00'',120,
570,NGC 7008,4,21h 00m 33s,54° 32' 35'',1.8,12.0
571,NGC 7006,2,21h 01m 29s,16° 11' 15'',2.8,10.6
572,NGC 7023,5,21h 01m 36s,68° 10' 10'',20,
573,Egg Nebula,4,21h 02m 18s,36° 42' 00'',0.50,
574,NGC 7013,3,21h 03m 33s,29° 53' 49'',4.4,11.3
575,NGC 7009,4,21h 04m 11s,-11° 21' 50'',0.70,12.0
576,NGC 7026,4,21h 06m 19s,47° 51' 08'',0.70,15.0
577,NGC 7027,2,21h 07m 02s,42° 14' 10'',0.25,8.5
578,OU 4,5,21h 11m 47s,59° 57' 01'',60,
579,Sh1-089,3,21h 14m 06s,47° 46' 00'',3.0,
580,NGC 7048,4,21h 14m 15s,46° 17' 18'',1.0,12.1
581,vdB 141,4,21h 16m 27s,68° 15' 52'',8.0,
582,Sh2-119,4,21h 18m 30s,43° 56' 00'',120,
583,Sh2-114,4,21h 21m 12s,38° 42' 00'',60,
584,M 015,3,21h 29m 58s,12° 10' 02'',12,6.3
585,M 039,2,21h 31m 42s,48° 25' 00'',60,4.6
586,M 002,4,21h 33m 27s,-00° 49' 23'',13,6.6
587,Abell 78,3,21h 35m 29s,31° 41' 45'',2.0,13.0
588,Sh2-124,2,21h 38m 17s,50° 19' 48'',20,
589,IC 1396,5,21h 38m 58s,57° 29' 21'',120,
590,G100.4+04.6,3,21h 40m 00s,58° 59' 00'',1,
591,M 030,3,21h 40m 22s,-23° 10' 45'',11,7.1
592,NGC 7129,3,21h 42m 59s,66° 06' 48'',9.0,
593,IC 5146,4,21h 53m 29s,47° 16' 01'',10,
594,NGC 7160,3,21h 53m 40s,62° 36' 12'',7.0,6.1
595,Barnard 169,2,21h 58m 53s,58° 46' 00'',60,
596,IC 5148,4,21h 59m 35s,-39° 23' 09'',2.0,11.0
597,NGC 7184,3,22h 02m 40s,-20° 48' 46'',6.0,10.9
598,NGC 7209,2,22h 05m 07s,46° 29' 00'',40,7.7
599,Arp 325,2,22h 06m 23s,-21° 05' 00'',2.0,14.5
600,LBN 0420,2,22h 08m 00s,41° 44' 21'',150,
601,vdB 152,4,22h 14m 02s,69° 56' 00'',5.0,
602,LBN 0535,4,22h 14m 55s,73° 25' 00'',120,
603,NGC 7243,2,22h 15m 08s,49° 53' 54'',21,6.4
604,NGC 7241,3,22h 15m 50s,19° 13' 52'',3.2,12.6
605,Sh2-134,2,22h 18m 00s,58° 58' 00'',200,
606,Sh2-132,4,22h 19m 09s,56° 04' 45'',60,
607,Arp 226,2,22h 20m 44s,-24° 40' 00'',2.0,11.4
608,Abell 79,3,22h 26m 17s,54° 49' 41'',2.0,15.0
609,Sh2-150,2,22h 29m 16s,64° 51' 08'',60,
610,NGC 7293,5,22h 29m 38s,-20° 50' 13'',12,7.3
611,UGC 12071,2,22h 32m 25s,30° 50' 08'',1.1,15.0
612,LDN 1251,4,22h 36m 03s,75° 15' 35'',90,
613,Arp 319,4,22h 36m 04s,33° 56' 00'',5.0,11.1
614,NGC 7331,4,22h 37m 04s,34° 24' 57'',10,9.5
615,LBN 0437,4,22h 38m 13s,41° 05' 24'',80,
616,NGC 7354,3,22h 40m 20s,61° 17' 07'',0.40,12.2
617,LBN 0438,4,22h 41m 17s,37° 45' 36'',30,
618,NGC 7380,4,22h 47m 21s,58° 07' 54'',30,
619,Sh2-146,3,22h 49m 29s,59° 54' 56'',2.0,
620,Sh2-154,2,22h 52m 00s,61° 13' 00'',40,
621,Sh2-155,4,22h 57m 54s,62° 31' 06'',50,
622,NGC 7436 Grp,2,22h 57m 58s,26° 08' 59'',15,12.6
623,Sh2-152,3,22h 58m 41s,58° 46' 59'',2.0,
624,LDN 1218,3,23h 02m 02s,62° 16' 09'',90,
625,Sh2-160,2,23h 04m 00s,64° 36' 00'',40,
626,UGC 12342,3,23h 04m 54s,16° 40' 42'',1.3,
627,NGC 7479,3,23h 04m 57s,12° 19' 20'',3.0,10.9
628,LBN 0477,2,23h 08m 20s,41° 46' 12'',45,
629,Sh2-122,1,23h 08m 48s,14° 55' 00'',40,
630,NGC 7497,3,23h 09m 04s,18° 10' 36'',5.0,12.2
631,NGC 7510,3,23h 11m 04s,60° 34' 15'',7.0,7.9
632,Sh2-158,4,23h 13m 37s,61° 30' 00'',9.0,
633,NGC 7541 Pair,2,23h 14m 44s,04° 32' 02'',3.0,11.7
634,Sh2-157,4,23h 16m 04s,60° 24' 36'',85,
635,NGC 7582 Trio,3,23h 18m 23s,-42° 22' 14'',5.0,10.6
636,NGC 7606,4,23h 19m 05s,-08° 29' 09'',4.0,10.8
637,Arp 150,3,23h 19m 28s,09° 30' 00'',0.80,11.9
638,Arp 212,2,23h 20m 30s,17° 13' 00'',1.1,12.1
639,NGC 7635,5,23h 20m 45s,61° 12' 42'',15,
640,LBN 0575,2,23h 21m 54s,74° 06' 36'',40,
641,KjPn 8,4,23h 24m 00s,60° 57' 00'',11,
642,M 052,2,23h 24m 48s,61° 35' 36'',16,6.9
643,NGC 7662,3,23h 25m 54s,42° 32' 06'',0.50,8.3
644,Jones 1,3,23h 35m 53s,30° 28' 06'',5,15.6
645,Arp 222,3,23h 39m 54s,-12° 17' 00'',3.5,10.6
646,LBN 0534,2,23h 40m 00s,48° 48' 00'',90,
647,Tiny Dipper,2,23h 40m 42s,07° 57' 00'',15,
648,Arp 295,3,23h 42m 04s,-03° 35' 00'',2.0,14.5
649,Cederblad 211,3,23h 43m 46s,-15° 16' 43'',2,
650,NGC 7741,2,23h 43m 54s,26° 04' 32'',4.5,11.3
651,Sh2-174,4,23h 47m 08s,80° 49' 22'',17,
652,NGC 7789,4,23h 57m 24s,56° 42' 30'',25,6.7
653,NGC 7793,2,23h 57m 50s,-32° 35' 28'',10,9.1
654,NGC 7788/7790,2,23h 58m 24s,61° 12' 30'',17,8.5
655,Abell 85,5,23h 59m 54s,62° 26' 51'',35,
656,LBN 0564,2,00h 01m 32s,48° 36' 36'',120,
657,Sh2-170,2,00h 01m 34s,64° 36' 42'',20,
658,UGC 12915,2,00h 01m 42s,23° 29' 45'',1.5,
659,WLM,2,00h 01m 57s,-15° 27' 01'',13,
660,NGC 7814,4,00h 03m 15s,16° 08' 43'',7.0,10.6
661,NGC 7822,4,00h 03m 36s,67° 09' 00'',190,
662,CTA 1,3,00h 06m 36s,72° 47' 00'',90,
663,Arp 146,2,00h 06m 44s,-06° 38' 00'',0.35,16.0
664,vdB 001,2,00h 10m 46s,58° 46' 31'',5.0,
665,NGC 0040,4,00h 13m 01s,72° 31' 19'',0.60,11.5
666,NGC 0055,3,00h 15m 08s,-39° 13' 12'',32,7.9
667,Sh2-173,4,00h 21m 16s,61° 43' 30'',25,
668,NGC 0128,3,00h 28m 50s,02° 50' 20'',3.0,11.8
669,NGC 0134,2,00h 30m 22s,-33° 14' 44'',9.0,10.4
670,NGC 0147,2,00h 33m 12s,48° 30' 27'',14,9.5
671,NGC 0151,2,00h 34m 03s,-09° 42' 20'',2.5,11.6
672,PGC 0002248,4,00h 37m 41s,-33° 42' 59'',1.1,
673,NGC 0185,1,00h 38m 58s,48° 20' 14'',12,9.2
674,NGC 0189,1,00h 39m 35s,61° 05' 06'',5.0,8.8
675,M 110,2,00h 40m 22s,41° 41' 07'',18,8.1
676,NGC 0210,4,00h 40m 35s,-13° 52' 24'',5.0,10.9
677,M 032,2,00h 42m 42s,40° 51' 54'',9.0,8.1
678,M 031,5,00h 42m 44s,41° 16' 08'',200,3.4
679,Arp 231,2,00h 43m 33s,-04° 07' 00'',1.7,13.7
680,NGC 0225,3,00h 43m 39s,61° 46' 30'',12,7.0
681,LBN 0603,3,00h 46m 07s,52° 34' 14'',120,
682,NGC 0246,4,00h 47m 03s,-11° 52' 19'',4.5,10.9
683,NGC 0247,2,00h 47m 08s,-20° 45' 35'',20,9.1
684,NGC 0188,2,00h 47m 28s,85° 15' 18'',14,8.1
685,NGC 0253,4,00h 47m 33s,-25° 17' 18'',25,7.2
686,NGC 0288,3,00h 52m 45s,-26° 35' 01'',13,8.1
687,NGC 0281,4,00h 52m 54s,56° 37' 29'',35,
688,NGC 0300,2,00h 54m 53s,-37° 41' 03'',22,8.1
689,IC 0063,4,00h 59m 29s,60° 54' 42'',9.0,
690,IC 1613,2,01h 04m 47s,02° 07' 07'',13,9.9
691,NGC 0404,1,01h 09m 27s,35° 43' 05'',7.0,10.3
692,NGC 0457,4,01h 19m 35s,58° 17' 12'',13,6.4
693,NGC 0474,3,01h 20m 00s,03° 24' 00'',5,11.5
694,NGC 0488,3,01h 21m 47s,05° 15' 23'',5.0,10.3
695,LBN 0644,2,01h 22m 58s,17° 11' 35'',60,
696,Arp 157,4,01h 24m 35s,03° 47' 00'',4.0,11.4
697,Hickson 010,3,01h 26m 25s,34° 42' 10'',11,10.1
698,NGC 0559,3,01h 29m 31s,63° 18' 24'',4.0,9.5
699,Sh2-188,4,01h 30m 33s,58° 24' 51'',9.0,
700,NGC 0584,2,01h 31m 21s,-06° 52' 05'',5.0,10.5
701,M 103,3,01h 33m 23s,60° 39' 00'',6.0,7.4
702,M 033,4,01h 33m 51s,30° 39' 37'',70,5.7
703,NGC 0613,3,01h 34m 18s,-29° 25' 08'',5.5,10.1
704,M 074,3,01h 36m 42s,15° 47' 01'',10,9.4
705,M 076,4,01h 42m 18s,51° 34' 15'',3.0,10.1
706,NGC 0660,4,01h 43m 02s,13° 38' 39'',10,11.2
707,NGC 0654,3,01h 44m 00s,61° 53' 06'',8.0,6.5
708,NGC 0659,2,01h 44m 24s,60° 40' 24'',6.0,7.9
709,NGC 0663,2,01h 46m 09s,61° 14' 06'',16,7.1
710,NGC 0672,2,01h 47m 54s,27° 25' 59'',6.0,10.9
711,Collinder 463,2,01h 48m 24s,71° 57' 00'',60,5.7
712,LBN 0640,3,01h 49m 16s,53° 45' 00'',35,
713,NGC 0678,2,01h 49m 25s,21° 59' 50'',4.5,12.2
714,Collinder 021,3,01h 50m 00s,27° 00' 00'',15,8.2
715,Arp 166,2,01h 57m 32s,33° 12' 00'',1.9,11.9
716,NGC 0752,1,01h 57m 41s,37° 47' 06'',60,5.7
717,NGC 0772,4,01h 59m 20s,19° 00' 29'',7.0,10.3
718,NGC 0812,3,02h 06m 52s,44° 34' 16'',2.3,11.3
719,Stock 2,1,02h 14m 41s,59° 29' 00'',130,
720,G132.6+01.5,2,02h 17m 40s,62° 45' 00'',90,
721,NGC 0869 & 0884,5,02h 19m 00s,57° 07' 42'',20,5.3
722,Arp 273,4,02h 21m 32s,39° 21' 00'',2.0,13.0
723,NGC 0891,4,02h 22m 33s,42° 20' 54'',12,9.9
724,NGC 0908,2,02h 23m 05s,-21° 14' 02'',6.0,10.2
725,Arp 145,3,02h 23m 11s,41° 22' 00'',1.2,13.8
726,NGC 0918,3,02h 25m 51s,18° 29' 45'',3.0,12.2
727,LDN 1333,2,02h 26m 04s,75° 28' 32'',20,
728,IC 1795,4,02h 26m 32s,62° 02' 39'',40,
729,NGC 0936,2,02h 27m 37s,-01° 09' 20'',6.0,10.2
730,Polaris IFN,2,02h 29m 59s,88° 10' 22'',180,
731,IC 1805,5,02h 32m 47s,61° 28' 30'',90,
732,Melotte 015,4,02h 32m 50s,61° 27' 42'',15,6.5
733,Fornax Dwarf,1,02h 39m 00s,-34° 34' 00'',25,7.4
734,CO 225.3 -66.3,2,02h 39m 16s,-30° 31' 54'',180,
735,Arp 135,2,02h 40m 24s,39° 04' 00'',7.0,9.4
736,NGC 1055,3,02h 41m 45s,00° 26' 33'',7.0,10.6
737,M 034,3,02h 42m 05s,42° 45' 42'',48,5.2
738,M 077,3,02h 42m 41s,-00° 00' 48'',10,8.9
739,NGC 1084,2,02h 46m 00s,-07° 34' 38'',3.0,10.7
740,NGC 1097,4,02h 46m 19s,-30° 16' 29'',9.3,9.5
741,IC 1848,4,02h 51m 18s,60° 24' 30'',90,
742,LBN 0762,3,02h 59m 07s,17° 22' 37'',100,
743,HFG 1,2,03h 01m 00s,64° 58' 00'',8.0,14.6
744,NGC 1232,3,03h 09m 45s,-20° 34' 46'',9.0,9.9
745,Sh2-200,4,03h 11m 01s,62° 47' 45'',6.0,
746,Arp 147,4,03h 11m 18s,01° 18' 00'',0.50,14.6
747,FR-23,2,03h 14m 10s,48° 11' 12'',30,
748,Arp 279,2,03h 14m 23s,-02° 48' 00'',5.8,11.7
749,NGC 1245,2,03h 14m 42s,47° 14' 12'',10,8.4
750,NGC 1291,3,03h 17m 18s,-41° 06' 29'',10,9.4
